WKT,ID,Use_Cat,Cons_Frame
POINT (432422.55055167415 8448106.477350872),9294,Residential,Masonry
POINT (432384.0505692047 8448103.29871745),8286,Outbuilding,Masonry
POINT (432329.0070525566 8448127.126997188),15934,Residential,Masonry
POINT (432270.4343193339 8448106.492560558),18123,Religious,Masonry
POINT (432292.1145119057 8448122.941503828),3215,Residential,Masonry
POINT (431891.210419439 8447992.722766398),15685,Religious,Reinforced_Concrete
POINT (432437.20671163464 8448067.85335848),9483,Residential,Masonry
POINT (432318.4241982422 8448005.830916826),8209,Residential,Masonry
POINT (432193.9486812309 8447983.447151681),5725,Residential,Masonry
POINT (432209.94376287423 8448072.625514654),7137,Residential,Masonry
POINT (431980.14942381583 8448122.749122035),14117,Outbuilding,Timber
POINT (431982.50346303405 8448098.596508352),3383,Residential,Masonry
POINT (431891.56990370556 8448137.726758577),4094,Residential,Masonry
POINT (431923.07907996763 8448123.198659277),9369,Outbuilding,Masonry
POINT (431967.03317155014 8448052.600446448),2136,Residential,Masonry
POINT (423334.409914251 8450233.930875577),1312,Outbuilding,Masonry
POINT (423335.86961371405 8450212.096799074),1313,Outbuilding,Masonry
POINT (423381.9953142344 8450111.277921278),1314,Residential,Masonry
POINT (423381.85840068804 8450121.476583784),1315,Outbuilding,Masonry
POINT (423384.72106943664 8450130.630090803),1316,Fale,Timber
POINT (423380.6161320663 8450034.06513738),1317,Residential,Masonry
POINT (423364.35943091754 8450034.202938195),1318,Outbuilding,Masonry
POINT (423357.54285835836 8449979.14231149),1319,Residential,Masonry
POINT (423353.9038174446 8449951.566183224),1320,Residential,Masonry
POINT (423350.99504459027 8449934.672180293),1321,Outbuilding,Masonry
POINT (423354.7420813836 8449913.380107706),1322,Residential,Masonry
POINT (423331.67274021136 8449915.172281878),1323,Outbuilding,Masonry
POINT (423331.2334894122 8449874.717445858),1324,Outbuilding,Masonry
POINT (423351.15376926324 8449859.904946126),1325,Outbuilding,Masonry
POINT (423318.7141989686 8449875.692066647),1326,Outbuilding,Masonry
POINT (423348.7145875472 8449872.428053802),1327,Outbuilding,Masonry
POINT (423319.9231836584 8449900.561845535),1328,Outbuilding,Masonry
POINT (423326.37975024147 8449825.376599815),1329,Outbuilding,Masonry
POINT (423317.7606345614 8449757.915473044),1330,Outbuilding,Masonry
POINT (423273.04988877743 8449737.616298197),1331,Outbuilding,Masonry
POINT (423280.037129008 8449668.598189835),1332,Residential,Masonry
POINT (423293.8625288354 8449676.689754993),1333,Outbuilding,Masonry
POINT (423247.136658332 8449653.219993368),1334,Residential,Masonry
POINT (423228.1688941946 8449661.90083667),1335,Residential,Masonry
POINT (423236.44644077035 8449688.227079615),1336,Residential,Masonry
POINT (423253.19280697615 8449681.142124891),1337,Outbuilding,Masonry
POINT (423256.56604976096 8449695.09774225),1338,Outbuilding,Masonry
POINT (423235.1310772333 8449702.749348328),1339,Outbuilding,Masonry
