ID,Use_Cat,Cons_Frame,lat,long
13213,Residential,Masonry,-14.03464984518589,-171.61870489292662
6910,Residential,Masonry,-14.033721475871431,-171.61819966475554
13391,Residential,Masonry,-14.033303142265494,-171.61796714215808
6320,Residential,Masonry,-14.033391963688342,-171.61736075727606
16307,Outbuilding,Masonry,-14.033441421791665,-171.61838363770653
4489,Outbuilding,Masonry,-14.034177200000016,-171.6199617000003
17156,Residential,Masonry,-14.033806290839813,-171.61841792803443
9261,Residential,Masonry,-14.033587399999277,-171.61833049999944
4089,Residential,Masonry,-14.033470099999553,-171.6183058500002
10531,Outbuilding,Masonry,-14.03309350000025,-171.61952575000004
7840,Outbuilding,Masonry,-14.03269796953324,-171.61836126532708
12338,,,-14.030356775106759,-171.61861664425572
11571,Outbuilding,Masonry,-14.032646137383566,-171.61984147464503
9336,Residential,Masonry,-14.033991050021804,-171.61980979999166
76,Residential,Masonry,-14.03316140754017,-171.61942192934515
10450,Residential,Masonry,-14.032818836768916,-171.61826255904808
7536,Residential,Masonry,-14.034043312191084,-171.61958289014746
9001,Outbuilding,Masonry,-14.033659692316313,-171.6183105449876
4014,Residential,Masonry,-14.034092109494065,-171.6190245255526
3919,Residential,Masonry,-14.034206087102168,-171.6198424863756
19080,Outbuilding,Masonry,-14.033281866208522,-171.61953180032842
10972,Residential,Masonry,-14.034246562159023,-171.61996172468915
10861,Residential,Masonry,-14.034782245339944,-171.61911055366423
102,Residential,Masonry,-14.034580329603028,-171.6189686653825
7185,Residential,Masonry,-14.034649337914045,-171.61915337249354
15878,Residential,Masonry,-14.035333549050153,-171.62095030648553
17416,Outbuilding,Masonry,-14.034477162948422,-171.61842505019254
8302,Outbuilding,Masonry,-14.034935795048108,-171.62095717930742
16606,Residential,Masonry,-14.034687434048916,-171.61939527993033
9885,Residential,Masonry,-14.034568775263905,-171.61944158437026
13271,Residential,Masonry,-14.03436129290216,-171.61847538549338
18200,Residential,Masonry,-14.034591623017564,-171.61980348889898
6705,Outbuilding,Masonry,-14.034484767031445,-171.61910157002157
12386,Residential,Masonry,-14.035531200000309,-171.62113410000066
5398,Residential,Masonry,-14.035081850000429,-171.62098225000108
19371,Outbuilding,Masonry,-14.035659799999829,-171.62117065000095
13752,Outbuilding,Masonry,-14.03526002263364,-171.62109753718136
8046,Outbuilding,Masonry,-14.034672304559054,-171.6197793737259
16623,Outbuilding,Masonry,-14.034241255477921,-171.6185858582172
